#separator:Tab
#html:true
#columns:ID	Front	Back	Tags
#tags column:4
atomic-habits::immediate-satisfaction::mechanism::01	Why does “Immediate Satisfaction” work in the book’s model?	<b>Answer</b><br>Mechanism: A checkmark, pleasant experience, or visible progress closes the gap between action and distant outcome. Why it matters: Many valuable habits have delayed benefits, while repetition is influenced by what happens now. Use it when the desired result is delayed and the behavior needs a present signal to compete with immediate alternatives. Apply it by Add a simple, immediate, repeatable signal that confirms completion without undermining the larger aim. Watch for this failure: A reward can contradict the goal or become more attractive than the target behavior.<br><br><b>Re-teach</b><br>Many valuable habits have delayed benefits, while repetition is influenced by what happens now. Use it when the desired result is delayed and the behavior needs a present signal to compete with immediate alternatives. A reward can contradict the goal or become more attractive than the target behavior.<br><br><b>Example</b><br>Pleasant-smelling, foaming soap made handwashing more satisfying while the health benefit remained delayed.<br><br><b>Remember</b><br>Immediate satisfaction reinforces the response now; a long-term outcome may remain the reason the behavior matters.<br><br><b>Connections</b><br>Related ideas: habit-tracking-recovery, temptation-bundling.<br><br><span class="source">Source</span><br>Chapter 15 — The Cardinal Rule of Behavior Change (ch15)	atomic-habits atomic-habits::ch15 atomic-habits::concept::immediate-satisfaction atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::implementation-intention::concept::01	What does the book mean by “Implementation Intention” and why does it matter?	<b>Answer</b><br>Definition: An implementation intention specifies a behavior, time, and location: “I will [behavior] at [time] in [location].” Why it matters: Specificity replaces a vague promise to act later with a cue that can be noticed and tested. Mechanism: A stable time-and-place cue reduces daily renegotiation and makes the first physical action easier to identify. Use it when a good intention keeps being postponed because the opportunity is undefined. Apply it by Choose a reliable time and place and write the first observable action, not a broad aspiration.<br><br><b>Re-teach</b><br>Specificity replaces a vague promise to act later with a cue that can be noticed and tested. A stable time-and-place cue reduces daily renegotiation and makes the first physical action easier to identify.<br><br><b>Example</b><br>“Open the notebook and write one sentence at 8 a.m. at the desk” gives a clearer starting cue than “work on my project.”<br><br><b>Remember</b><br>Use a time-and-place intention when the clock or location is stable; use a habit stack when an existing routine is the better anchor.<br><br><b>Connections</b><br>Related ideas: habit-stacking, environment-design.<br><br><span class="source">Source</span><br>Chapter 5 — The Best Way to Start a New Habit (ch05)	atomic-habits atomic-habits::ch05 atomic-habits::concept::implementation-intention atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::implementation-intention::mechanism::01	Why does “Implementation Intention” work in the book’s model?	<b>Answer</b><br>Mechanism: A stable time-and-place cue reduces daily renegotiation and makes the first physical action easier to identify. Why it matters: Specificity replaces a vague promise to act later with a cue that can be noticed and tested. Use it when a good intention keeps being postponed because the opportunity is undefined. Apply it by Choose a reliable time and place and write the first observable action, not a broad aspiration. Watch for this failure: A cue tied to an unreliable time, place, or mood will not provide repeated opportunities.<br><br><b>Re-teach</b><br>Specificity replaces a vague promise to act later with a cue that can be noticed and tested. Use it when a good intention keeps being postponed because the opportunity is undefined. A cue tied to an unreliable time, place, or mood will not provide repeated opportunities.<br><br><b>Example</b><br>“Open the notebook and write one sentence at 8 a.m. at the desk” gives a clearer starting cue than “work on my project.”<br><br><b>Remember</b><br>Use a time-and-place intention when the clock or location is stable; use a habit stack when an existing routine is the better anchor.<br><br><b>Connections</b><br>Related ideas: habit-stacking, environment-design.<br><br><span class="source">Source</span><br>Chapter 5 — The Best Way to Start a New Habit (ch05)	atomic-habits atomic-habits::ch05 atomic-habits::concept::implementation-intention atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::iterative-improvement::synthesis::01	What iterative cycle does the book recommend for lasting change?	<b>Answer</b><br>The book’s durable cycle is to notice the pattern, design the next repetition, repeat it, review the evidence, and refine the system. Repetition reveals real obstacles; review distinguishes a useful routine from one that has drifted in quality or purpose. When the earliest link fails, change that link and run a smaller test rather than adding pressure everywhere.<br><br><b>Re-teach</b><br>A missed behavior or plateau is information about the design, not automatically a verdict about the person. The next change should target the earliest failing cue, reward, effort, or measure. When quality drifts, deliberate practice and feedback matter more than simply increasing frequency.<br><br><b>Remember</b><br>The durable result is the ability to keep redesigning intelligently.<br><br><b>Connections</b><br>Related ideas: deliberate-practice, habit-tracking-recovery.<br><br><span class="source">Source</span><br>SKILL.md — Core model	atomic-habits atomic-habits::book-map atomic-habits::concept::iterative-improvement atomic-habits::type::synthesis atomic-habits::tier::core
atomic-habits::law-least-effort::concept::01	What does the book mean by “Law of Least Effort and Friction” and why does it matter?	<b>Answer</b><br>Definition: People tend to choose the option requiring less work, especially when tired, rushed, or undecided; friction is the effort and steps between cue and response. Why it matters: Small differences in convenience can determine which behavior becomes the default. Mechanism: Reducing steps and setup makes a desired response available sooner, while adding proportionate barriers makes a competing response less automatic. Use it when someone knows the desired action but repeatedly chooses an easier alternative. Apply it by Trace the steps between cue and response, remove the highest-cost step for the desired behavior, and add modest friction to the competing one.<br><br><b>Re-teach</b><br>Small differences in convenience can determine which behavior becomes the default. Reducing steps and setup makes a desired response available sooner, while adding proportionate barriers makes a competing response less automatic.<br><br><b>Example</b><br>Preparing materials or changing a default is a one-time setup that can improve many later repetitions.<br><br><b>Remember</b><br>Ease concerns the number of steps and effort; value still determines whether the behavior is worth making easy.<br><br><b>Connections</b><br>Related ideas: environment-design, two-minute-rule.<br><br><span class="source">Source</span><br>Chapter 12 — The Law of Least Effort (ch12)	atomic-habits atomic-habits::ch12 atomic-habits::concept::law-least-effort atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::law-least-effort::mechanism::01	Why does “Law of Least Effort and Friction” work in the book’s model?	<b>Answer</b><br>Mechanism: Reducing steps and setup makes a desired response available sooner, while adding proportionate barriers makes a competing response less automatic. Why it matters: Small differences in convenience can determine which behavior becomes the default. Use it when someone knows the desired action but repeatedly chooses an easier alternative. Apply it by Trace the steps between cue and response, remove the highest-cost step for the desired behavior, and add modest friction to the competing one. Watch for this failure: Making a low-value distraction easy can optimise the wrong behavior, and removing friction can weaken safety or quality control.<br><br><b>Re-teach</b><br>Small differences in convenience can determine which behavior becomes the default. Use it when someone knows the desired action but repeatedly chooses an easier alternative. Making a low-value distraction easy can optimise the wrong behavior, and removing friction can weaken safety or quality control.<br><br><b>Example</b><br>Preparing materials or changing a default is a one-time setup that can improve many later repetitions.<br><br><b>Remember</b><br>Ease concerns the number of steps and effort; value still determines whether the behavior is worth making easy.<br><br><b>Connections</b><br>Related ideas: environment-design, two-minute-rule.<br><br><span class="source">Source</span><br>Chapter 12 — The Law of Least Effort (ch12)	atomic-habits atomic-habits::ch12 atomic-habits::concept::law-least-effort atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::loop-laws-map::book-map::01	How do the cue–craving–response–reward loop and Four Laws fit together?	<b>Answer</b><br>The habit loop describes cue, craving, response, and reward; the Four Laws are the matching design levers. Make the cue obvious so the opportunity is noticed, make the anticipated benefit attractive so starting feels worthwhile, make the response easy so ability and friction do not block it, and make the reward satisfying so the brain learns to repeat it. For an unwanted habit, invert the levers: hide the cue, make the outcome unattractive, add difficulty, and make the consequence unsatisfying.<br><br><b>Re-teach</b><br>The loop describes what happens; the Four Laws describe how to redesign it. A cue must be noticed, an anticipated benefit must make action attractive, the response must be possible, and feedback must teach repetition. For an unwanted habit, hide the cue, make the outcome unattractive, add friction, and make the consequence unsatisfying.<br><br><b>Remember</b><br>Diagnose the weakest link before adding more techniques.<br><br><b>Connections</b><br>Related ideas: habit-loop, four-laws.<br><br><span class="source">Source</span><br>SKILL.md — Core model	atomic-habits atomic-habits::book-map atomic-habits::concept::loop-laws-map atomic-habits::type::book-map atomic-habits::tier::core
atomic-habits::make-it-invisible::concept::01	What does the book mean by “Make It Invisible” and why does it matter?	<b>Answer</b><br>Definition: To weaken an unwanted habit, reduce exposure to the cue that makes the response noticeable and tempting. Why it matters: One environmental change can remove many future decisions before attention and craving are captured. Mechanism: Resisting the same cue repeatedly is costly; hiding, removing, or avoiding it changes the choice architecture earlier in the loop. Use it when a cue reliably starts an unwanted behavior and can be reduced without creating a larger problem. Apply it by Remove notifications, move tempting items, log out, change the route, or otherwise reduce cue exposure.<br><br><b>Re-teach</b><br>One environmental change can remove many future decisions before attention and craving are captured. Resisting the same cue repeatedly is costly; hiding, removing, or avoiding it changes the choice architecture earlier in the loop.<br><br><b>Example</b><br>The book’s strategy is to make the cue invisible rather than repeatedly demand more willpower at the moment of temptation.<br><br><b>Remember</b><br>Self-control can bridge a transition, but environment design is the longer-term way to reduce repeated battles.<br><br><b>Connections</b><br>Related ideas: environment-design, underlying-motive.<br><br><span class="source">Source</span><br>Chapter 7 — The Secret to Self-Control (ch07)	atomic-habits atomic-habits::ch07 atomic-habits::concept::make-it-invisible atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::make-it-invisible::mechanism::01	Why does “Make It Invisible” work in the book’s model?	<b>Answer</b><br>Mechanism: Resisting the same cue repeatedly is costly; hiding, removing, or avoiding it changes the choice architecture earlier in the loop. Why it matters: One environmental change can remove many future decisions before attention and craving are captured. Use it when a cue reliably starts an unwanted behavior and can be reduced without creating a larger problem. Apply it by Remove notifications, move tempting items, log out, change the route, or otherwise reduce cue exposure. Watch for this failure: Removing exposure without addressing the need the habit served can leave the original problem unsolved.<br><br><b>Re-teach</b><br>One environmental change can remove many future decisions before attention and craving are captured. Use it when a cue reliably starts an unwanted behavior and can be reduced without creating a larger problem. Removing exposure without addressing the need the habit served can leave the original problem unsolved.<br><br><b>Example</b><br>The book’s strategy is to make the cue invisible rather than repeatedly demand more willpower at the moment of temptation.<br><br><b>Remember</b><br>Self-control can bridge a transition, but environment design is the longer-term way to reduce repeated battles.<br><br><b>Connections</b><br>Related ideas: environment-design, underlying-motive.<br><br><span class="source">Source</span><br>Chapter 7 — The Secret to Self-Control (ch07)	atomic-habits atomic-habits::ch07 atomic-habits::concept::make-it-invisible atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::repetition-over-motion::concept::01	What does the book mean by “Repetition over Motion” and why does it matter?	<b>Answer</b><br>Definition: Action changes the situation and produces feedback; motion consists of planning, researching, or organising without performing the behavior. Why it matters: Repetition creates the learning that turns a behavior into a habit, while planning can feel productive without testing the design. Mechanism: Performances strengthen the cue–response connection and expose real obstacles; elapsed calendar time or theoretical preparation cannot do that alone. Use it when preparation keeps expanding but the target behavior is not producing evidence. Apply it by Start a good-enough version, repeat it enough to learn, and optimise only after the bottleneck is observable.<br><br><b>Re-teach</b><br>Repetition creates the learning that turns a behavior into a habit, while planning can feel productive without testing the design. Performances strengthen the cue–response connection and expose real obstacles; elapsed calendar time or theoretical preparation cannot do that alone.<br><br><b>Example</b><br>The photography-class comparison contrasts students who took many photographs with students who tried to plan one perfect image.<br><br><b>Remember</b><br>Motion prepares; action performs and teaches.<br><br><b>Connections</b><br>Related ideas: two-minute-rule, deliberate-practice.<br><br><span class="source">Source</span><br>Chapter 11 — Walk Slowly, but Never Backward (ch11)	atomic-habits atomic-habits::ch11 atomic-habits::concept::repetition-over-motion atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::social-groups::concept::01	What does the book mean by “The Close, the Many, and the Powerful” and why does it matter?	<b>Answer</b><br>Definition: People tend to imitate habits from close relationships, the wider group or tribe, and people with status. Why it matters: Belonging and social norms can make a behavior feel ordinary, attractive, embarrassing, or unnecessary. Mechanism: Groups model, reward, and normalize behavior, so social context changes which choices feel coherent before private intention is debated. Use it when a desired behavior conflicts with the habits or expectations of the surrounding community. Apply it by Choose or shape a recurring group where the desired behavior is normal and find a realistic way to participate.<br><br><b>Re-teach</b><br>Belonging and social norms can make a behavior feel ordinary, attractive, embarrassing, or unnecessary. Groups model, reward, and normalize behavior, so social context changes which choices feel coherent before private intention is debated.<br><br><b>Example</b><br>Clear names the three social sources as the close, the many, and the powerful.<br><br><b>Remember</b><br>Social proof can lower the cost of starting, but it should not pressure someone into an identity they do not want.<br><br><b>Connections</b><br>Related ideas: identity-based-change, temptation-bundling.<br><br><span class="source">Source</span><br>Chapter 9 — The Role of Family and Friends in Shaping Your Habits (ch09)	atomic-habits atomic-habits::ch09 atomic-habits::concept::social-groups atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::temptation-bundling::concept::01	What does the book mean by “Temptation Bundling” and why does it matter?	<b>Answer</b><br>Definition: Temptation bundling pairs an action to build with an action the person enjoys. Why it matters: An immediate enjoyable experience can make a delayed-benefit behavior more attractive at the moment of starting. Mechanism: The enjoyable activity becomes contingent on beginning the target behavior, bringing anticipation closer to the desired response. Use it when the target is useful but not appealing and an enjoyable activity is available at the same time. Apply it by Make the enjoyable activity available only with the target behavior, keeping the bundle simple enough to repeat.<br><br><b>Re-teach</b><br>An immediate enjoyable experience can make a delayed-benefit behavior more attractive at the moment of starting. The enjoyable activity becomes contingent on beginning the target behavior, bringing anticipation closer to the desired response.<br><br><b>Example</b><br>Ronan Byrne made Netflix play only while he cycled on a stationary bike.<br><br><b>Remember</b><br>Bundling combines two activities; a motivation ritual is a brief positive prelude to starting.<br><br><b>Connections</b><br>Related ideas: immediate-satisfaction, four-laws.<br><br><span class="source">Source</span><br>Chapter 8 — How to Make a Habit Irresistible (ch08)	atomic-habits atomic-habits::ch08 atomic-habits::concept::temptation-bundling atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::three-layers::book-map::01	How do outcome, process, and identity fit together in the book?	<b>Answer</b><br>Outcome change targets the result someone wants, process change targets the routine or system that produces it, and identity change targets the beliefs and self-concept that guide behavior. Outcomes give direction but are delayed; processes operate on ordinary days; identity can make the process feel coherent. A durable design connects all three without treating one lapse as a permanent identity verdict.<br><br><b>Re-teach</b><br>Outcomes give direction but are delayed. Processes operate on ordinary days and provide the repetitions that change identity. Identity should guide practice without becoming a rigid label that one lapse must disprove.<br><br><b>Remember</b><br>Design from identity through process toward outcome.<br><br><b>Connections</b><br>Related ideas: compounding-systems, identity-based-change.<br><br><span class="source">Source</span><br>SKILL.md — Core model	atomic-habits atomic-habits::book-map atomic-habits::concept::three-layers atomic-habits::type::book-map atomic-habits::tier::core
atomic-habits::two-minute-rule::concept::01	What does the book mean by “Two-Minute Rule” and why does it matter?	<b>Answer</b><br>Definition: The Two-Minute Rule shrinks the start of a new habit to an action that takes about two minutes. Why it matters: It reduces activation cost at the decisive opening moment without pretending that the whole project can be completed in two minutes. Mechanism: A tiny gateway makes beginning easier; once initiation is reliable, duration, volume, and quality can be trained separately. Use it when a routine fails because the first step feels too large or effortful. Apply it by Write the full routine, identify its first visible action, shrink that gateway to about two minutes, and repeat it at a chosen cue.<br><br><b>Re-teach</b><br>It reduces activation cost at the decisive opening moment without pretending that the whole project can be completed in two minutes. A tiny gateway makes beginning easier; once initiation is reliable, duration, volume, and quality can be trained separately.<br><br><b>Example</b><br>Twyla Tharp’s morning cab ride was a small ritual that reliably began a much longer workout.<br><br><b>Remember</b><br>The gateway protects initiation; it is not a claim that the larger outcome requires only two minutes.<br><br><b>Connections</b><br>Related ideas: law-least-effort, implementation-intention.<br><br><span class="source">Source</span><br>Chapter 13 — How to Stop Procrastinating by Using the Two-Minute Rule (ch13)	atomic-habits atomic-habits::ch13 atomic-habits::concept::two-minute-rule atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::two-minute-rule::mechanism::01	Why does “Two-Minute Rule” work in the book’s model?	<b>Answer</b><br>Mechanism: A tiny gateway makes beginning easier; once initiation is reliable, duration, volume, and quality can be trained separately. Why it matters: It reduces activation cost at the decisive opening moment without pretending that the whole project can be completed in two minutes. Use it when a routine fails because the first step feels too large or effortful. Apply it by Write the full routine, identify its first visible action, shrink that gateway to about two minutes, and repeat it at a chosen cue. Watch for this failure: Expanding the routine too quickly can make the cue predict pressure again and restore the activation cost.<br><br><b>Re-teach</b><br>It reduces activation cost at the decisive opening moment without pretending that the whole project can be completed in two minutes. Use it when a routine fails because the first step feels too large or effortful. Expanding the routine too quickly can make the cue predict pressure again and restore the activation cost.<br><br><b>Example</b><br>Twyla Tharp’s morning cab ride was a small ritual that reliably began a much longer workout.<br><br><b>Remember</b><br>The gateway protects initiation; it is not a claim that the larger outcome requires only two minutes.<br><br><b>Connections</b><br>Related ideas: law-least-effort, implementation-intention.<br><br><span class="source">Source</span><br>Chapter 13 — How to Stop Procrastinating by Using the Two-Minute Rule (ch13)	atomic-habits atomic-habits::ch13 atomic-habits::concept::two-minute-rule atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::underlying-motive::concept::01	What does the book mean by “Underlying Motive and Reframing” and why does it matter?	<b>Answer</b><br>Definition: An unwanted behavior’s surface craving points toward a deeper state the person wants to change, such as relief, stimulation, connection, certainty, or rest. Why it matters: A replacement that ignores the motive will not compete at the decisive moment. Mechanism: The cue creates a prediction about the feeling a response will produce; reframing makes the full trade-off and actual after-effect more salient. Use it when a technically healthy alternative keeps failing because it is emotionally irrelevant. Apply it by Compare the expected feeling with the after-effect, identify the underlying need, and choose an accessible alternative that addresses it.<br><br><b>Re-teach</b><br>A replacement that ignores the motive will not compete at the decisive moment. The cue creates a prediction about the feeling a response will produce; reframing makes the full trade-off and actual after-effect more salient.<br><br><b>Example</b><br>The chapter distinguishes the object or action on the surface from the state the person is trying to change.<br><br><b>Remember</b><br>A surface craving names the object or action; the deeper motive explains why it is attractive.<br><br><b>Connections</b><br>Related ideas: habit-loop, make-it-invisible.<br><br><span class="source">Source</span><br>Chapter 10 — How to Find and Fix the Causes of Your Bad Habits (ch10)	atomic-habits atomic-habits::ch10 atomic-habits::concept::underlying-motive atomic-habits::type::concept atomic-habits::tier::important
